Description,Year,Quarter,Month,DateofWeek,Hour,UnitPrice,Country,Discount,PaymentMethod,ShippingCost,Category,ShipmentProvider,WarehouseLocation,Actual_Quantity,Predicted_Quantity
Desk Lamp,2024,Q1,Jan,Sat,18,95.11,Portugal,0.39,Bank Transfer,9.22,Stationery,UPS,Berlin,6,23.51
Wireless Mouse,2023,Q4,Dec,Thu,12,3.55,Germany,0.5,Bank Transfer,15.08,Apparel,Royal Mail,Berlin,45,25.69
Headphones,2020,Q1,Mar,Mon,19,76.21,Norway,0.01,Bank Transfer,29.72,Furniture,Royal Mail,Paris,1,23.42
T-shirt,2020,Q2,Apr,Tue,23,59.19,Sweden,0.38,Bank Transfer,13.69,Stationery,UPS,Amsterdam,14,24.13
Notebook,2024,Q4,Oct,Sun,23,13.18,Belgium,0.45,Credit Card,10.56,Stationery,Royal Mail,Amsterdam,5,29.95
Blue Pen,2021,Q4,Oct,Thu,22,52.72,Australia,0.4,Credit Card,15.69,Furniture,UPS,Paris,23,28.48
USB Cable,2020,Q4,Nov,Fri,7,-1.91,Germany,1.232340973,Credit Card,,Accessories,DHL,,-35,-27.23
T-shirt,2020,Q2,Jun,Tue,21,94.03,France,0.16,Credit Card,27.47,Accessories,FedEx,Amsterdam,37,22.01
Desk Lamp,2023,Q1,Feb,Fri,19,92.11,Sweden,0.12,Bank Transfer,17.95,Accessories,Royal Mail,Amsterdam,26,20.58
Blue Pen,2020,Q3,Aug,Fri,4,62.15,Italy,0.21,paypall,17.12,Stationery,FedEx,Amsterdam,9,18.2
USB Cable,2020,Q4,Nov,Wed,7,11.42,Spain,0.4,Credit Card,19.28,Furniture,DHL,Paris,43,29.24
Desk Lamp,2022,Q2,May,Thu,13,34.61,Italy,0.46,Bank Transfer,6.15,Apparel,Royal Mail,Berlin,3,23.27
Office Chair,2024,Q2,Jun,Fri,4,73.86,Italy,0.4,Bank Transfer,10.3,Stationery,UPS,,19,25.47
Wireless Mouse,2023,Q4,Dec,Tue,21,46.07,Spain,0.3,Bank Transfer,17.71,Electronics,DHL,Amsterdam,1,23.57
USB Cable,2023,Q3,Sep,Mon,14,46.87,Belgium,0.15,paypall,7.4,Apparel,Royal Mail,Amsterdam,32,23.1
Blue Pen,2023,Q2,May,Wed,3,30.09,Netherlands,0.09,Bank Transfer,14.36,Furniture,FedEx,Berlin,2,26.42
T-shirt,2020,Q4,Nov,Fri,8,35.97,Spain,0.08,Bank Transfer,9.24,Apparel,Royal Mail,Amsterdam,16,24.62
Notebook,2021,Q4,Dec,Thu,19,17.45,United States,0.41,paypall,23.79,Electronics,UPS,Amsterdam,1,24.95
Office Chair,2024,Q4,Oct,Sun,15,58.82,France,0.09,Credit Card,21.22,Apparel,Royal Mail,Berlin,15,19.4
Wall Clock,2020,Q2,Jun,Mon,17,51.42,Spain,0.29,Bank Transfer,24.41,Electronics,FedEx,Rome,6,26.77
Desk Lamp,2023,Q2,May,Mon,10,88.89,Portugal,0.23,paypall,18.37,Stationery,UPS,Amsterdam,22,19.87
Wall Clock,2021,Q2,May,Mon,23,72.16,Sweden,0.31,Credit Card,29.25,Stationery,Royal Mail,Rome,16,25.49
Blue Pen,2024,Q2,Apr,Sun,9,74.98,Sweden,0.3,Credit Card,28.72,Stationery,FedEx,Amsterdam,43,22.91
Office Chair,2020,Q3,Aug,Wed,7,92.33,Sweden,0.31,Credit Card,,Apparel,DHL,,-13,-26.05
USB Cable,2023,Q1,Jan,Mon,0,34.65,Norway,0.46,Bank Transfer,20.07,Accessories,FedEx,Paris,27,26.2
T-shirt,2024,Q4,Nov,Tue,11,12.28,Norway,0.05,Credit Card,5.19,Furniture,Royal Mail,London,23,23.5
Notebook,2021,Q1,Mar,Mon,22,81.56,Italy,0.38,Credit Card,6.5,Electronics,DHL,Amsterdam,34,20.94
Headphones,2022,Q1,Mar,Wed,11,52.13,Germany,0.46,paypall,11.55,Stationery,FedEx,Amsterdam,10,25.42
White Mug,2022,Q3,Aug,Sat,0,82.06,Belgium,0.24,Credit Card,5.44,Stationery,FedEx,Amsterdam,37,20.94
Wall Clock,2023,Q3,Aug,Tue,5,88.78,France,0.12,Credit Card,27.47,Stationery,UPS,Berlin,6,26.4
Headphones,2021,Q1,Mar,Wed,16,20.77,Belgium,0.35,paypall,17.15,Furniture,FedEx,Paris,33,25.09
White Mug,2021,Q3,Jul,Tue,20,90.62,Germany,0.36,Credit Card,6.53,Electronics,Royal Mail,Amsterdam,49,22.62
Notebook,2020,Q4,Oct,Thu,18,62.09,Australia,0.32,Credit Card,24.3,Stationery,Royal Mail,Berlin,36,22.08
Blue Pen,2022,Q1,Mar,Mon,17,5.8,Netherlands,0.19,Bank Transfer,13.71,Electronics,DHL,Rome,14,22.15
Wall Clock,2020,Q2,Apr,Wed,22,12.52,United States,0.07,Bank Transfer,21.64,Stationery,FedEx,Rome,44,26.62
T-shirt,2021,Q3,Aug,Sat,23,66.12,Italy,0.33,paypall,22.36,Furniture,UPS,Amsterdam,37,19.68
Notebook,2024,Q3,Jul,Mon,5,18.08,Sweden,0.09,Credit Card,10.76,Accessories,FedEx,Rome,15,23.15
Office Chair,2021,Q4,Nov,Thu,18,29.97,Belgium,0.34,paypall,18.83,Apparel,FedEx,Rome,8,25.65
Office Chair,2022,Q1,Feb,Thu,4,65.81,Spain,0.43,paypall,16.8,Electronics,Royal Mail,Berlin,43,25.96
Office Chair,2024,Q1,Feb,Thu,19,45.43,Belgium,0.27,paypall,18.61,Electronics,FedEx,London,20,25.34
Wireless Mouse,2022,Q1,Feb,Wed,23,17.79,Sweden,0.46,Bank Transfer,14.51,Furniture,DHL,Paris,36,23.63
Blue Pen,2023,Q3,Aug,Tue,13,6.48,United Kingdom,0.38,Credit Card,14.15,Stationery,FedEx,London,45,26.42
Wall Clock,2023,Q1,Jan,Tue,17,91.33,United Kingdom,0.15,Credit Card,29.56,Furniture,DHL,London,32,24.14
Backpack,2021,Q2,May,Wed,13,58.52,Portugal,0.31,Credit Card,6.69,Stationery,DHL,Paris,1,24.89
Notebook,2024,Q3,Aug,Fri,6,90.54,Australia,0.28,paypall,17.09,Furniture,FedEx,Paris,35,27.26
White Mug,2023,Q3,Sep,Thu,5,85.99,Portugal,0.31,paypall,8.82,Stationery,FedEx,Berlin,43,24.28
Headphones,2021,Q2,Apr,Thu,18,7.32,United States,0.08,paypall,26.93,Furniture,Royal Mail,London,38,22.52
USB Cable,2023,Q1,Mar,Fri,7,1.98,Spain,0.48,Credit Card,15.13,Apparel,UPS,,38,25.52
USB Cable,2023,Q2,Apr,Fri,9,10.79,Portugal,0.42,paypall,,Accessories,Royal Mail,,-25,-29.94
Notebook,2022,Q1,Feb,Mon,18,75.13,Italy,0.24,paypall,11.39,Electronics,Royal Mail,Rome,9,23.24
USB Cable,2021,Q2,Apr,Thu,16,61.01,United Kingdom,0.02,Credit Card,28.49,Apparel,UPS,Amsterdam,45,23.6
Notebook,2022,Q4,Oct,Sat,1,38.81,Spain,0.25,Credit Card,8.94,Electronics,DHL,London,20,27.02
Office Chair,2021,Q4,Dec,Mon,8,64.18,Australia,0.2,Bank Transfer,16.59,Stationery,FedEx,Paris,48,27.06
Headphones,2020,Q4,Oct,Fri,5,97.44,United States,0.08,Credit Card,26.49,Electronics,Royal Mail,Paris,35,28.12
USB Cable,2021,Q3,Aug,Sun,14,16.59,United Kingdom,0.22,Credit Card,10.55,Apparel,FedEx,Amsterdam,22,25.15
Backpack,2024,Q3,Jul,Sat,22,86.39,Australia,0.14,Bank Transfer,13.57,Stationery,DHL,Amsterdam,4,26.02
Notebook,2023,Q4,Nov,Fri,11,42.65,Italy,0.16,Credit Card,16.19,Electronics,Royal Mail,Berlin,14,25.32
Desk Lamp,2022,Q3,Aug,Wed,22,94.79,Italy,0.16,Bank Transfer,13.84,Accessories,FedEx,London,29,24.34
T-shirt,2024,Q4,Oct,Tue,16,65.02,Germany,0.11,Credit Card,11.59,Stationery,DHL,Paris,39,24.06
Blue Pen,2020,Q3,Aug,Sat,16,67.57,Italy,0.22,Bank Transfer,20.84,Apparel,FedEx,Amsterdam,17,24.53
Headphones,2020,Q1,Mar,Mon,9,69.19,Norway,0.03,paypall,25.53,Apparel,Royal Mail,Berlin,33,23.83
USB Cable,2023,Q3,Sep,Tue,4,5.08,Belgium,0.02,paypall,15.6,Electronics,Royal Mail,Berlin,7,21.37
White Mug,2024,Q3,Jul,Sat,9,59.89,Belgium,0.42,Credit Card,23.64,Furniture,Royal Mail,Amsterdam,3,26.82
Office Chair,2020,Q4,Nov,Mon,21,76.95,Australia,0.4,paypall,19.19,Furniture,Royal Mail,Berlin,8,23.92
T-shirt,2022,Q3,Jul,Sat,0,24.28,United Kingdom,0.31,paypall,17.34,Electronics,DHL,Amsterdam,38,19.79
USB Cable,2023,Q2,Jun,Sat,22,83.88,Norway,0.05,paypall,26.59,Accessories,Royal Mail,,11,27.96
Blue Pen,2020,Q2,May,Sat,21,61.01,United States,0.08,Bank Transfer,17.99,Stationery,FedEx,London,22,27.01
Desk Lamp,2020,Q1,Feb,Tue,22,66.54,France,0.02,Bank Transfer,27.96,Accessories,UPS,Berlin,15,22.76
Office Chair,2024,Q4,Oct,Sun,6,27.79,France,0.09,Bank Transfer,25.49,Stationery,FedEx,Rome,35,26.11
Headphones,2022,Q4,Nov,Fri,9,57.84,Norway,0.23,Bank Transfer,15.15,Furniture,FedEx,Amsterdam,29,25.35
Blue Pen,2022,Q4,Oct,Fri,13,-84.74,Netherlands,1.987783113,Bank Transfer,,Apparel,UPS,,-19,-22.23
T-shirt,2024,Q4,Oct,Wed,0,80.89,Germany,0.23,Credit Card,20.44,Apparel,DHL,Amsterdam,29,25.37
Wireless Mouse,2021,Q4,Nov,Thu,21,23.62,Netherlands,0.21,Bank Transfer,23.71,Accessories,Royal Mail,Berlin,30,28.57
Headphones,2022,Q2,Apr,Wed,1,85.51,Germany,0.06,paypall,11.87,Electronics,FedEx,Berlin,6,22.42
Notebook,2023,Q3,Jul,Thu,10,88.76,Belgium,0.19,Credit Card,14.51,Electronics,Royal Mail,Rome,12,21.1
Office Chair,2022,Q3,Sep,Sun,22,6.4,Portugal,0.36,paypall,22.92,Accessories,UPS,Amsterdam,32,18.3
Office Chair,2022,Q2,Jun,Thu,3,31.56,Norway,0.49,paypall,7.67,Accessories,Royal Mail,Paris,33,26.58
Desk Lamp,2021,Q2,Apr,Mon,2,24.09,Portugal,0.41,Credit Card,23.88,Stationery,DHL,Amsterdam,43,27.0
Desk Lamp,2024,Q3,Aug,Mon,10,14.62,Australia,0.24,paypall,27.86,Electronics,FedEx,Paris,20,23.01
Desk Lamp,2023,Q3,Jul,Sat,3,12.26,Portugal,0.33,Bank Transfer,11.71,Electronics,FedEx,Rome,46,23.87
White Mug,2024,Q3,Sep,Thu,22,76.28,United Kingdom,0.29,Credit Card,26.41,Stationery,FedEx,Paris,38,26.59
Backpack,2022,Q3,Aug,Mon,10,5.21,Australia,0.39,Credit Card,17.34,Apparel,UPS,Amsterdam,22,22.1
T-shirt,2024,Q2,Apr,Thu,23,72.27,United Kingdom,0.2,Bank Transfer,25.46,Accessories,UPS,London,11,24.41
Blue Pen,2022,Q3,Jul,Fri,10,25.22,Netherlands,0.29,Bank Transfer,29.48,Accessories,FedEx,Paris,16,23.14
Headphones,2020,Q1,Feb,Tue,1,-61.53,Netherlands,1.10078681,paypall,,Stationery,FedEx,,-47,-26.26
Wireless Mouse,2024,Q4,Nov,Tue,2,22.19,Germany,0.3,paypall,21.75,Furniture,UPS,Amsterdam,13,26.35
Wireless Mouse,2021,Q4,Dec,Wed,13,-87.77,United States,1.709084144,Bank Transfer,,Accessories,Royal Mail,,-14,-26.87
Office Chair,2023,Q3,Sep,Wed,3,59.93,United States,0.07,Bank Transfer,18.19,Stationery,FedEx,London,19,22.28
Office Chair,2024,Q1,Jan,Mon,22,35.92,Belgium,0.11,Bank Transfer,21.47,Electronics,Royal Mail,Rome,38,24.87
Blue Pen,2023,Q2,Apr,Sat,18,20.31,United Kingdom,0.33,Bank Transfer,23.63,Furniture,DHL,Rome,35,25.62
Blue Pen,2022,Q3,Sep,Tue,6,67.23,Italy,0.18,paypall,27.75,Furniture,DHL,London,25,25.32
T-shirt,2023,Q1,Feb,Mon,20,26.86,Germany,0.02,Bank Transfer,24.14,Electronics,FedEx,Paris,38,22.2
White Mug,2020,Q4,Oct,Wed,6,4.99,Portugal,0.09,paypall,29.69,Stationery,Royal Mail,Amsterdam,45,24.63
Headphones,2020,Q3,Jul,Fri,20,85.51,Italy,0.31,Bank Transfer,26.75,Apparel,DHL,Amsterdam,4,23.89
White Mug,2023,Q2,Apr,Thu,3,16.27,United Kingdom,0.34,Credit Card,16.41,Stationery,FedEx,Berlin,8,22.82
Backpack,2022,Q2,Jun,Sat,2,94.12,United States,0.48,paypall,11.26,Electronics,UPS,Rome,36,28.33
White Mug,2022,Q2,May,Wed,16,49.68,Belgium,0.17,paypall,27.34,Stationery,DHL,Rome,43,24.82
Wall Clock,2023,Q3,Sep,Fri,4,58.11,Norway,0.22,Credit Card,15.6,Electronics,UPS,London,24,21.14
Wall Clock,2023,Q3,Sep,Sat,6,30.04,Germany,0.09,Credit Card,11.67,Accessories,Royal Mail,,26,21.16
USB Cable,2021,Q4,Nov,Sun,9,21.03,United Kingdom,0.38,Bank Transfer,24.94,Furniture,Royal Mail,Berlin,11,26.18
Office Chair,2022,Q3,Aug,Thu,10,9.96,Netherlands,0.15,paypall,17.34,Stationery,DHL,Amsterdam,25,25.58
USB Cable,2020,Q1,Jan,Sat,2,96.88,Sweden,0.49,Credit Card,27.88,Furniture,UPS,Rome,39,22.53
Backpack,2022,Q3,Jul,Tue,15,19.05,Italy,0.42,Bank Transfer,22.74,Accessories,DHL,Paris,29,25.19
Office Chair,2023,Q4,Dec,Thu,2,10.02,France,0.03,paypall,27.73,Stationery,Royal Mail,Berlin,49,22.21
USB Cable,2021,Q2,Jun,Sat,11,69.02,Australia,0.49,Credit Card,28.52,Accessories,FedEx,Amsterdam,33,23.89
Wireless Mouse,2023,Q2,May,Sat,5,48.13,United Kingdom,0.28,Bank Transfer,23.63,Furniture,FedEx,Paris,27,21.95
Wireless Mouse,2024,Q3,Aug,Tue,1,25.76,Norway,0.18,Bank Transfer,22.59,Stationery,UPS,Berlin,11,25.93
Office Chair,2024,Q4,Nov,Sat,20,82.32,Belgium,0.26,Bank Transfer,5.36,Stationery,FedEx,Berlin,46,23.44
Blue Pen,2021,Q2,Apr,Mon,18,16.58,Spain,0.11,paypall,10.71,Stationery,UPS,Berlin,43,23.58
Notebook,2020,Q2,Jun,Sat,9,5.71,Netherlands,0.08,paypall,14.49,Furniture,FedEx,Berlin,30,23.96
Desk Lamp,2022,Q4,Dec,Sun,12,-19.62,United States,1.89512692,paypall,,Accessories,UPS,,-34,-25.11
Blue Pen,2020,Q2,May,Sat,17,54.42,Netherlands,0.4,Bank Transfer,26.21,Apparel,UPS,Berlin,26,25.7
T-shirt,2020,Q1,Mar,Sat,15,-77.48,Netherlands,1.947140292,Bank Transfer,,Accessories,DHL,,-49,-20.97
Backpack,2024,Q2,Jun,Mon,3,22.55,France,0.3,paypall,22.87,Electronics,UPS,London,6,24.49
Office Chair,2023,Q4,Oct,Wed,15,77.88,Netherlands,0.44,Credit Card,17.11,Accessories,Royal Mail,Berlin,22,25.92
Wall Clock,2023,Q1,Jan,Tue,14,27.19,Portugal,0.39,Credit Card,15.79,Apparel,DHL,Berlin,45,23.52
Wall Clock,2021,Q1,Jan,Fri,13,49.15,Italy,0.14,Credit Card,25.7,Stationery,Royal Mail,Amsterdam,31,25.36
White Mug,2024,Q2,May,Tue,18,85.3,Norway,0.4,Credit Card,27.67,Stationery,DHL,Berlin,9,22.65
Backpack,2022,Q4,Oct,Mon,5,43.52,Belgium,0.05,Bank Transfer,11.77,Furniture,FedEx,Paris,11,23.87
White Mug,2021,Q3,Jul,Thu,19,98.69,Germany,0.02,paypall,23.03,Apparel,Royal Mail,Paris,11,24.6
White Mug,2022,Q2,May,Fri,11,44.95,Portugal,0.28,Bank Transfer,8.68,Apparel,FedEx,Rome,41,22.72
White Mug,2024,Q4,Nov,Wed,15,66.95,Sweden,0.34,Bank Transfer,24.67,Accessories,DHL,Paris,29,28.49
White Mug,2024,Q3,Sep,Tue,2,93.17,France,0.08,paypall,23.24,Accessories,UPS,Rome,2,27.77
White Mug,2022,Q3,Jul,Wed,0,34.01,United Kingdom,0.3,Bank Transfer,12.15,Stationery,UPS,Rome,41,26.3
Notebook,2020,Q2,Jun,Thu,12,26.48,France,0.24,Credit Card,,Electronics,Royal Mail,,-1,-26.4
Blue Pen,2023,Q1,Mar,Sat,8,60.65,United Kingdom,0.08,Credit Card,27.23,Apparel,UPS,Amsterdam,5,27.17
Notebook,2023,Q3,Aug,Mon,22,52.96,United States,0.15,Bank Transfer,20.69,Electronics,UPS,Rome,24,27.9
Wireless Mouse,2024,Q4,Dec,Thu,0,12.35,Portugal,0.36,Bank Transfer,9.13,Electronics,Royal Mail,Paris,11,24.49
Office Chair,2022,Q4,Oct,Mon,19,60.15,United States,0.22,paypall,22.1,Electronics,UPS,Berlin,17,25.46
Wireless Mouse,2024,Q3,Jul,Thu,23,72.16,Spain,0.26,Credit Card,13.65,Apparel,UPS,Amsterdam,40,29.2
Notebook,2023,Q4,Dec,Wed,18,91.18,Germany,0.26,paypall,23.89,Apparel,UPS,Rome,2,28.61
White Mug,2021,Q2,Jun,Sun,2,49.13,Portugal,0.32,Credit Card,16.43,Apparel,Royal Mail,Paris,48,22.16
Notebook,2023,Q3,Sep,Sat,0,74.51,Netherlands,0.36,paypall,10.42,Electronics,FedEx,Rome,27,26.71
Wall Clock,2022,Q4,Oct,Thu,21,98.31,United Kingdom,0.2,Bank Transfer,29.7,Furniture,DHL,Rome,38,24.18
T-shirt,2020,Q3,Sep,Wed,6,41.19,United Kingdom,0.45,Bank Transfer,12.36,Accessories,DHL,Paris,14,22.94
Notebook,2020,Q1,Jan,Sat,3,24.56,Sweden,0.32,paypall,14.23,Stationery,Royal Mail,London,23,26.06
USB Cable,2020,Q3,Sep,Thu,17,69.91,United Kingdom,0.05,Bank Transfer,26.1,Stationery,Royal Mail,Berlin,24,25.31
White Mug,2021,Q3,Jul,Mon,12,23.94,United Kingdom,0.26,Credit Card,29.14,Electronics,DHL,Berlin,23,24.25
USB Cable,2020,Q4,Nov,Fri,1,13.44,Norway,0.02,Credit Card,13.04,Accessories,FedEx,London,13,27.23
Wireless Mouse,2023,Q1,Jan,Sat,11,-34.37,Spain,1.328252933,paypall,,Accessories,FedEx,,-33,-25.0
Wall Clock,2024,Q1,Feb,Sun,14,40.49,Netherlands,0.26,paypall,28.43,Accessories,Royal Mail,London,46,23.43
Desk Lamp,2023,Q4,Dec,Sun,17,26.16,Portugal,0.08,paypall,24.31,Apparel,Royal Mail,Berlin,26,23.58
White Mug,2022,Q4,Oct,Thu,11,92.39,United States,0.28,Credit Card,7.33,Accessories,UPS,Rome,43,24.88
Wall Clock,2020,Q4,Nov,Thu,0,92.06,Australia,0.08,paypall,,Accessories,Royal Mail,,-15,-23.0
USB Cable,2022,Q1,Feb,Fri,16,64.69,Germany,0.41,Credit Card,26.99,Furniture,Royal Mail,London,16,25.47
White Mug,2021,Q4,Nov,Mon,0,33.02,Spain,0.36,Credit Card,22.37,Accessories,UPS,Berlin,35,27.03
Notebook,2021,Q4,Oct,Mon,17,14.56,Spain,0.09,Bank Transfer,16.28,Furniture,FedEx,Berlin,17,24.52
Wireless Mouse,2023,Q1,Jan,Sun,10,21.42,Sweden,0.14,Bank Transfer,10.02,Furniture,FedEx,Berlin,48,28.47
Notebook,2024,Q1,Mar,Sun,1,82.65,Australia,0.23,paypall,27.81,Furniture,DHL,Berlin,23,27.99
Backpack,2020,Q1,Jan,Mon,23,69.23,Italy,0.06,Bank Transfer,5.61,Stationery,UPS,Berlin,48,24.62
Backpack,2021,Q3,Sep,Sun,8,93.88,Australia,0.09,paypall,25.49,Accessories,DHL,Rome,2,26.13
Notebook,2023,Q1,Mar,Fri,18,86.73,United States,0.14,paypall,26.83,Electronics,FedEx,Berlin,40,24.9
Backpack,2020,Q3,Sep,Sun,13,92.27,France,0.11,Credit Card,21.42,Apparel,UPS,Amsterdam,1,28.18
Wall Clock,2020,Q2,May,Wed,11,-77.78,Belgium,1.207222521,Credit Card,,Apparel,Royal Mail,,-23,-29.2
T-shirt,2020,Q3,Sep,Sun,11,-73.99,Netherlands,1.957881932,paypall,,Apparel,Royal Mail,,-43,-23.91
Desk Lamp,2022,Q2,Apr,Sat,6,34.81,Netherlands,0.13,Bank Transfer,15.52,Furniture,FedEx,Paris,37,26.7
Office Chair,2022,Q4,Oct,Sat,8,20.85,Portugal,0.12,Bank Transfer,21.99,Apparel,FedEx,Paris,17,22.04
USB Cable,2020,Q3,Sep,Tue,16,-88.26,Italy,1.11188294,Bank Transfer,,Furniture,DHL,,-37,-20.14
T-shirt,2020,Q1,Mar,Wed,16,61.89,Spain,0.07,paypall,12.55,Furniture,UPS,Amsterdam,49,24.98
White Mug,2022,Q3,Aug,Fri,4,50.56,United Kingdom,0.46,Bank Transfer,15.41,Stationery,FedEx,Berlin,47,27.6
USB Cable,2022,Q3,Jul,Fri,2,18.67,United Kingdom,0.09,paypall,19.1,Furniture,UPS,Rome,10,25.4
Desk Lamp,2024,Q2,Apr,Tue,8,59.14,United Kingdom,0.38,Bank Transfer,28.02,Accessories,DHL,Amsterdam,25,23.51
White Mug,2022,Q4,Nov,Fri,7,30.05,Germany,0.49,paypall,8.84,Electronics,UPS,London,48,22.5
Backpack,2020,Q3,Sep,Mon,13,57.13,Australia,0.04,paypall,21.91,Electronics,Royal Mail,Rome,32,26.55
Wall Clock,2022,Q2,Apr,Fri,23,16.27,Sweden,0.27,Credit Card,19.12,Apparel,DHL,Paris,26,22.86
Backpack,2022,Q1,Mar,Sun,2,17.75,United States,0.1,paypall,11.54,Accessories,UPS,Amsterdam,21,24.44
Desk Lamp,2020,Q4,Dec,Sat,8,97.13,Italy,0.23,Credit Card,5.27,Stationery,DHL,Berlin,30,25.9
USB Cable,2021,Q4,Oct,Thu,4,30.02,Italy,0.46,Credit Card,23.49,Apparel,FedEx,Rome,26,24.53
Desk Lamp,2020,Q2,May,Tue,0,81.98,Spain,0.2,Bank Transfer,29.02,Apparel,Royal Mail,,1,21.87
Desk Lamp,2021,Q4,Nov,Mon,12,34.83,Norway,0.42,Credit Card,6.64,Furniture,DHL,Amsterdam,39,25.06
USB Cable,2024,Q1,Mar,Sat,0,95.35,Germany,0.26,paypall,5.39,Apparel,FedEx,Berlin,42,22.28
Wireless Mouse,2023,Q3,Jul,Thu,2,69.1,Portugal,0.23,Credit Card,12.54,Furniture,Royal Mail,Paris,29,24.7
Headphones,2020,Q3,Aug,Sun,21,99.34,France,0.06,Bank Transfer,9.99,Accessories,FedEx,Amsterdam,8,21.67
Wall Clock,2021,Q3,Sep,Tue,22,72.62,Germany,0.13,Bank Transfer,19.02,Furniture,DHL,Berlin,44,24.65
Wireless Mouse,2024,Q1,Jan,Sat,20,31.36,Sweden,0.38,Bank Transfer,8.95,Stationery,FedEx,Paris,26,25.48
Wall Clock,2023,Q1,Mar,Sun,0,20.56,Sweden,0.38,Credit Card,22.94,Furniture,DHL,Berlin,18,26.13
Office Chair,2020,Q4,Nov,Wed,4,32.65,Belgium,0.12,Credit Card,11.86,Stationery,FedEx,Amsterdam,49,24.45
Backpack,2022,Q1,Jan,Sun,5,88.63,France,0.47,paypall,13.11,Accessories,Royal Mail,Berlin,23,27.54
Desk Lamp,2022,Q4,Nov,Sat,23,19.88,United States,0.02,Bank Transfer,16.02,Stationery,DHL,Paris,24,26.39
Wall Clock,2023,Q2,May,Wed,22,14.53,Belgium,0.05,paypall,14.47,Accessories,FedEx,Paris,42,26.11
Wall Clock,2024,Q1,Feb,Tue,16,51.51,Portugal,0.49,Credit Card,,Apparel,FedEx,,-14,-21.83
Wall Clock,2020,Q3,Jul,Fri,9,80.06,Spain,0.31,paypall,26.75,Accessories,Royal Mail,London,7,23.37
Headphones,2023,Q4,Nov,Wed,12,48.62,Sweden,0.46,paypall,26.31,Stationery,UPS,Berlin,1,29.31
Office Chair,2023,Q3,Jul,Sat,6,60.45,Norway,0.49,Bank Transfer,17.62,Stationery,Royal Mail,Paris,28,27.72
Office Chair,2024,Q3,Sep,Sat,14,66.2,United States,0.09,Credit Card,13.2,Apparel,UPS,Berlin,7,23.79
Wall Clock,2024,Q3,Jul,Sun,14,73.87,Italy,0.5,Credit Card,26.91,Apparel,FedEx,Berlin,27,25.46
Notebook,2021,Q1,Mar,Sun,1,40.28,Netherlands,0.43,Bank Transfer,10.82,Accessories,DHL,Rome,46,27.13
T-shirt,2021,Q4,Oct,Fri,11,65.48,Germany,0.29,Credit Card,10.94,Electronics,Royal Mail,Amsterdam,2,21.35
USB Cable,2023,Q2,Jun,Thu,19,4.44,Belgium,0.42,Credit Card,17.26,Furniture,Royal Mail,Berlin,21,26.63
Notebook,2024,Q2,Jun,Fri,13,53.49,Spain,0.24,paypall,21.72,Stationery,FedEx,Berlin,48,22.45
Wall Clock,2020,Q4,Dec,Thu,3,64.71,France,0.02,paypall,19.37,Stationery,FedEx,Rome,11,24.46
Notebook,2023,Q4,Nov,Fri,20,77.22,United States,0.44,paypall,15.57,Electronics,FedEx,Amsterdam,35,22.62
Office Chair,2020,Q2,May,Tue,14,11.32,France,0.4,paypall,25.88,Stationery,Royal Mail,Paris,18,26.53
Blue Pen,2023,Q4,Dec,Sat,16,66.97,Belgium,0.23,Bank Transfer,8.81,Accessories,UPS,Rome,38,23.74
T-shirt,2023,Q3,Jul,Wed,20,59.05,France,0.06,Credit Card,29.34,Furniture,Royal Mail,Paris,20,27.36
T-shirt,2020,Q1,Jan,Sun,6,55.49,France,0.21,Credit Card,25.58,Apparel,DHL,London,22,28.12
Wireless Mouse,2021,Q2,Jun,Wed,23,41.64,Belgium,0.34,Credit Card,,Accessories,FedEx,,-29,-35.58
Blue Pen,2022,Q1,Feb,Sun,21,35.53,Italy,0.46,Bank Transfer,8.81,Electronics,FedEx,Amsterdam,11,23.79
Office Chair,2024,Q2,May,Mon,21,-65.8,Netherlands,1.058105781,paypall,,Accessories,FedEx,,-35,-28.27
Headphones,2021,Q1,Jan,Mon,13,-34.61,United Kingdom,1.519760945,Bank Transfer,,Stationery,FedEx,,-46,-24.36
Wireless Mouse,2022,Q2,Jun,Thu,1,43.62,Australia,0.35,paypall,10.5,Furniture,FedEx,Amsterdam,20,27.79
Backpack,2023,Q1,Jan,Fri,19,3.8,Italy,0.38,Credit Card,15.89,Stationery,UPS,London,13,24.27
White Mug,2024,Q3,Jul,Fri,16,66.02,Belgium,0.41,Bank Transfer,22.43,Furniture,DHL,Amsterdam,27,28.23
Wireless Mouse,2022,Q1,Mar,Thu,0,4.09,Portugal,0.29,Bank Transfer,18.76,Accessories,DHL,Rome,48,26.7
Backpack,2020,Q3,Aug,Sun,1,54.2,Italy,0.29,paypall,9.69,Furniture,FedEx,Rome,11,25.88
Desk Lamp,2021,Q3,Aug,Wed,23,49.69,Norway,0.27,Credit Card,22.29,Stationery,Royal Mail,Paris,33,26.95
Desk Lamp,2023,Q3,Aug,Tue,16,64.34,Netherlands,0.5,Credit Card,20.77,Stationery,FedEx,Rome,6,25.11
Wall Clock,2021,Q1,Feb,Sat,10,53.04,Spain,0.2,Bank Transfer,20.9,Accessories,DHL,Amsterdam,33,26.81
T-shirt,2022,Q4,Oct,Sat,10,77.06,Germany,0.07,paypall,15.61,Stationery,DHL,Rome,1,26.31
